TSA,tsa_id,bioproject,biosample,sex,stage,tissue
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628931,None,adult,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628932,male,None,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628932,None,None,antennae
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628932,None,adult,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628933,male,None,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628933,None,None,forelegs
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628933,None,adult,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628934,male,None,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628934,None,None,forelegs
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628934,None,adult,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628935,male,None,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628935,None,None,forelegs
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628935,None,adult,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628936,male,None,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628936,None,None,hindlegs
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628936,None,adult,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628937,male,None,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628937,None,None,hindlegs
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628937,None,adult,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628938,male,None,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628938,None,None,hindlegs
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628938,None,adult,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628939,male,None,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628939,None,None,hindlegs
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628939,None,adult,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628940,male,None,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628940,None,None,hindlegs
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628940,None,adult,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628941,male,None,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628941,None,None,midlegs
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628941,None,adult,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628942,male,None,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628942,None,None,midlegs
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628942,None,adult,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628943,male,None,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628943,None,None,midlegs
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628943,None,adult,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628944,male,None,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628944,None,None,abdominal tips
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628944,None,adult,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628945,male,None,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628945,None,None,abdominal tips
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628945,None,adult,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628946,male,None,None
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628946,None,None,abdominal tips
GFNA00000000.1,GFNA,PRJNA236239,SAMN02628946,None,adult,None
GELV00000000.1,GELV,PRJNA317524,SAMN04620693,None,None,whole larvae
GFME00000000.1,GFME,PRJNA344956,SAMN05853688,pooled male and female,None,None
GFME00000000.1,GFME,PRJNA344956,SAMN05853688,None,None,italy
GEHC00000000.1,GEHC,PRJNA314492,SAMN04535804,None,None,whole body
GEHC00000000.1,GEHC,PRJNA314492,SAMN04535804,None,adult,None
GEHC00000000.1,GEHC,PRJNA314492,SAMN04535804,female,None,None
GEHC00000000.1,GEHC,PRJNA314492,SAMN04535805,None,None,antennae
GEHC00000000.1,GEHC,PRJNA314492,SAMN04535805,None,adult,None
GEHC00000000.1,GEHC,PRJNA314492,SAMN04535805,female,None,None
GEHC00000000.1,GEHC,PRJNA314492,SAMN04535806,None,None,maxillary palps
GEHC00000000.1,GEHC,PRJNA314492,SAMN04535806,None,adult,None
GEHC00000000.1,GEHC,PRJNA314492,SAMN04535806,female,None,None
GEHC00000000.1,GEHC,PRJNA314492,SAMN04535807,None,None,male heads
GEHC00000000.1,GEHC,PRJNA314492,SAMN04535807,None,adult,None
GEHC00000000.1,GEHC,PRJNA314492,SAMN04535807,male,None,None
GFCP00000000.1,GFCP,PRJNA356979,SAMN06130557,None,None,venom gland and venom sac
GFCP00000000.1,GFCP,PRJNA356979,SAMN06130557,None,adult,None
GFCP00000000.1,GFCP,PRJNA356979,SAMN06130557,female,None,None
GFCQ00000000.1,GFCQ,PRJNA356979,SAMN06130820,None,None,cns
GFCQ00000000.1,GFCQ,PRJNA356979,SAMN06130820,None,adult,None
GFCQ00000000.1,GFCQ,PRJNA356979,SAMN06130820,male,None,None
GCPB00000000.1,GCPB,PRJNA274192,SAMN03349349,None,None,whole body
GCPB00000000.1,GCPB,PRJNA274192,SAMN03349349,None,fifth instar,None
GCPB00000000.1,GCPB,PRJNA274192,SAMN03349349,na,None,None
GCPB00000000.1,GCPB,PRJNA274192,SAMN03349350,None,None,whole body
GCPB00000000.1,GCPB,PRJNA274192,SAMN03349350,None,adult,None
GCPB00000000.1,GCPB,PRJNA274192,SAMN03349350,female,None,None
GCPB00000000.1,GCPB,PRJNA274192,SAMN03349351,None,None,whole body
GCPB00000000.1,GCPB,PRJNA274192,SAMN03349351,None,adult,None
GCPB00000000.1,GCPB,PRJNA274192,SAMN03349351,male,None,None
GCPB00000000.1,GCPB,PRJNA274192,SAMN03349352,None,None,whole body
GCPB00000000.1,GCPB,PRJNA274192,SAMN03349352,None,adult,None
GCPB00000000.1,GCPB,PRJNA274192,SAMN03349352,female,None,None
GENK00000000.1,GENK,PRJNA320807,SAMN04965117,None,None,antennae
GEGV00000000.1,GEGV,PRJNA313471,SAMN04523666,None,None,whole body
GEGV00000000.1,GEGV,PRJNA313471,SAMN04523666,None,third-instars larvae of moths,None
GERG00000000.1,GERG,PRJNA298054,SAMN04155520,None,None,abdomen
GERG00000000.1,GERG,PRJNA298054,SAMN04155520,None,adult,None
GDJO00000000.1,GDJO,PRJNA289655,SAMN03856543,None,None,head
GDJO00000000.1,GDJO,PRJNA289655,SAMN03856543,None,adult,None
GDJO00000000.1,GDJO,PRJNA289655,SAMN03856543,female,None,None
GBOS00000000.1,GBOS,PRJNA252710,SAMN02870277,missing,None,None
GBOS00000000.1,GBOS,PRJNA252710,SAMN02870277,None,None,whole organism
GBOS00000000.1,GBOS,PRJNA252710,SAMN02870277,None,adult,None
GBXA00000000.1,GBXA,PRJNA252317,SAMN02870367,missing,None,None
GBXA00000000.1,GBXA,PRJNA252317,SAMN02870367,None,None,whole organism
GBXA00000000.1,GBXA,PRJNA252317,SAMN02870367,None,adult,None
GBWZ00000000.1,GBWZ,PRJNA252274,SAMN02870372,missing,None,None
GBWZ00000000.1,GBWZ,PRJNA252274,SAMN02870372,None,None,whole organism
GBWZ00000000.1,GBWZ,PRJNA252274,SAMN02870372,None,adult,None
GBWS00000000.1,GBWS,PRJNA252132,SAMN02870218,missing,None,None
GBWS00000000.1,GBWS,PRJNA252132,SAMN02870218,None,None,whole organism
GBWS00000000.1,GBWS,PRJNA252132,SAMN02870218,None,adult,None
GBWR00000000.1,GBWR,PRJNA252304,SAMN02870382,female,None,None
GBWR00000000.1,GBWR,PRJNA252304,SAMN02870382,None,None,whole organism
GBWR00000000.1,GBWR,PRJNA252304,SAMN02870382,None,adult,None
GBWQ00000000.1,GBWQ,PRJNA252301,SAMN02870344,missing,None,None
GBWQ00000000.1,GBWQ,PRJNA252301,SAMN02870344,None,None,whole organism
GBWQ00000000.1,GBWQ,PRJNA252301,SAMN02870344,None,adult,None
GBWV00000000.1,GBWV,PRJNA252295,SAMN02870408,missing,None,None
GBWV00000000.1,GBWV,PRJNA252295,SAMN02870408,None,None,whole organism
GBWV00000000.1,GBWV,PRJNA252295,SAMN02870408,None,adult,None
GBWP00000000.1,GBWP,PRJNA252293,SAMN02870349,male,None,None
GBWP00000000.1,GBWP,PRJNA252293,SAMN02870349,None,None,whole organism
GBWP00000000.1,GBWP,PRJNA252293,SAMN02870349,None,adult,None
GBWN00000000.1,GBWN,PRJNA252281,SAMN02870429,missing,None,None
GBWN00000000.1,GBWN,PRJNA252281,SAMN02870429,None,None,whole organism
GBWN00000000.1,GBWN,PRJNA252281,SAMN02870429,None,adult,None
GBWM00000000.1,GBWM,PRJNA252278,SAMN02870278,missing,None,None
GBWM00000000.1,GBWM,PRJNA252278,SAMN02870278,None,None,whole organism
GBWM00000000.1,GBWM,PRJNA252278,SAMN02870278,None,adult,None
GBWU00000000.1,GBWU,PRJNA252312,SAMN02870369,missing,None,None
GBWU00000000.1,GBWU,PRJNA252312,SAMN02870369,None,None,whole organism
GBWU00000000.1,GBWU,PRJNA252312,SAMN02870369,None,adult,None
GBWJ00000000.1,GBWJ,PRJNA252309,SAMN02870440,female,None,None
GBWJ00000000.1,GBWJ,PRJNA252309,SAMN02870440,None,None,whole organism
GBWJ00000000.1,GBWJ,PRJNA252309,SAMN02870440,None,adult,None
GBWF00000000.1,GBWF,PRJNA252259,SAMN02870418,female,None,None
GBWF00000000.1,GBWF,PRJNA252259,SAMN02870418,None,None,whole organism
GBWF00000000.1,GBWF,PRJNA252259,SAMN02870418,None,adult,None
GBWE00000000.1,GBWE,PRJNA252245,SAMN02870383,missing,None,None
GBWE00000000.1,GBWE,PRJNA252245,SAMN02870383,None,None,whole organism
GBWE00000000.1,GBWE,PRJNA252245,SAMN02870383,None,adult,None
GBVU00000000.1,GBVU,PRJNA252202,SAMN02870370,male,None,None
GBVU00000000.1,GBVU,PRJNA252202,SAMN02870370,None,None,whole organism
GBVU00000000.1,GBVU,PRJNA252202,SAMN02870370,None,adult,None
GBVT00000000.1,GBVT,PRJNA252199,SAMN02870346,missing,None,None
GBVT00000000.1,GBVT,PRJNA252199,SAMN02870346,None,None,whole organism
GBVT00000000.1,GBVT,PRJNA252199,SAMN02870346,None,adult,None
GBWC00000000.1,GBWC,PRJNA252186,SAMN02870319,missing,None,None
GBWC00000000.1,GBWC,PRJNA252186,SAMN02870319,None,None,whole organism
GBWC00000000.1,GBWC,PRJNA252186,SAMN02870319,None,adult,None
GBWA00000000.1,GBWA,PRJNA252181,SAMN02870416,missing,None,None
GBWA00000000.1,GBWA,PRJNA252181,SAMN02870416,None,None,whole organism
GBWA00000000.1,GBWA,PRJNA252181,SAMN02870416,None,adult,None
GBVP00000000.1,GBVP,PRJNA252170,SAMN02870350,female,None,None
GBVP00000000.1,GBVP,PRJNA252170,SAMN02870350,None,None,whole organism
GBVP00000000.1,GBVP,PRJNA252170,SAMN02870350,None,adult,None
GBVO00000000.1,GBVO,PRJNA252168,SAMN02870207,male,None,None
GBVO00000000.1,GBVO,PRJNA252168,SAMN02870207,None,None,whole organism
GBVO00000000.1,GBVO,PRJNA252168,SAMN02870207,None,adult,None
GBVM00000000.1,GBVM,PRJNA252355,SAMN02870318,female,None,None
GBVM00000000.1,GBVM,PRJNA252355,SAMN02870318,None,None,whole organism
GBVM00000000.1,GBVM,PRJNA252355,SAMN02870318,None,adult,None
GBVL00000000.1,GBVL,PRJNA252213,SAMN02870368,female,None,None
GBVL00000000.1,GBVL,PRJNA252213,SAMN02870368,None,None,whole organism
GBVL00000000.1,GBVL,PRJNA252213,SAMN02870368,None,adult,None
GBVK00000000.1,GBVK,PRJNA252208,SAMN02870337,missing,None,None
GBVK00000000.1,GBVK,PRJNA252208,SAMN02870337,None,None,whole organism
GBVK00000000.1,GBVK,PRJNA252208,SAMN02870337,None,adult,None
GBVJ00000000.1,GBVJ,PRJNA252116,SAMN02870425,female,None,None
GBVJ00000000.1,GBVJ,PRJNA252116,SAMN02870425,None,None,whole organism
GBVJ00000000.1,GBVJ,PRJNA252116,SAMN02870425,None,adult,None
GBVI00000000.1,GBVI,PRJNA252244,SAMN02870232,female,None,None
GBVI00000000.1,GBVI,PRJNA252244,SAMN02870232,None,None,whole organism
GBVI00000000.1,GBVI,PRJNA252244,SAMN02870232,None,adult,None
GBVH00000000.1,GBVH,PRJNA252242,SAMN02870441,missing,None,None
GBVH00000000.1,GBVH,PRJNA252242,SAMN02870441,None,None,whole organism
GBVH00000000.1,GBVH,PRJNA252242,SAMN02870441,None,adult,None
GBVG00000000.1,GBVG,PRJNA252337,SAMN02870301,missing,None,None
GBVG00000000.1,GBVG,PRJNA252337,SAMN02870301,None,None,whole organism
GBVG00000000.1,GBVG,PRJNA252337,SAMN02870301,None,adult,None
GBVF00000000.1,GBVF,PRJNA252334,SAMN02870221,missing,None,None
GBVF00000000.1,GBVF,PRJNA252334,SAMN02870221,None,None,whole organism
GBVF00000000.1,GBVF,PRJNA252334,SAMN02870221,None,larva,None
GBVE00000000.1,GBVE,PRJNA252352,SAMN02870214,missing,None,None
GBVE00000000.1,GBVE,PRJNA252352,SAMN02870214,None,None,whole organism
GBVE00000000.1,GBVE,PRJNA252352,SAMN02870214,None,adult,None
GBVD00000000.1,GBVD,PRJNA252127,SAMN02870233,female,None,None
GBVD00000000.1,GBVD,PRJNA252127,SAMN02870233,None,None,whole organism
GBVD00000000.1,GBVD,PRJNA252127,SAMN02870233,None,adult,None
GBVB00000000.1,GBVB,PRJNA252125,SAMN02870320,female,None,None
GBVB00000000.1,GBVB,PRJNA252125,SAMN02870320,None,None,whole organism
GBVB00000000.1,GBVB,PRJNA252125,SAMN02870320,None,adult,None
GBUY00000000.1,GBUY,PRJNA252222,SAMN02870202,missing,None,None
GBUY00000000.1,GBUY,PRJNA252222,SAMN02870202,None,None,whole organism
GBUY00000000.1,GBUY,PRJNA252222,SAMN02870202,None,adult,None
GBUQ00000000.1,GBUQ,PRJNA252238,SAMN02870433,missing,None,None
GBUQ00000000.1,GBUQ,PRJNA252238,SAMN02870433,None,None,whole organism
GBUQ00000000.1,GBUQ,PRJNA252238,SAMN02870433,None,adult,None
GBUP00000000.1,GBUP,PRJNA252237,SAMN02870435,missing,None,None
GBUP00000000.1,GBUP,PRJNA252237,SAMN02870435,None,None,whole organism
GBUP00000000.1,GBUP,PRJNA252237,SAMN02870435,None,adult,None
GBUO00000000.1,GBUO,PRJNA252226,SAMN02870283,missing,None,None
GBUO00000000.1,GBUO,PRJNA252226,SAMN02870283,None,None,whole organism
GBUO00000000.1,GBUO,PRJNA252226,SAMN02870283,None,adult,None
GBUN00000000.1,GBUN,PRJNA252328,SAMN02870265,male,None,None
GBUN00000000.1,GBUN,PRJNA252328,SAMN02870265,None,None,whole organism
GBUN00000000.1,GBUN,PRJNA252328,SAMN02870265,None,adult,None
GBUM00000000.1,GBUM,PRJNA252333,SAMN02870442,male,None,None
GBUM00000000.1,GBUM,PRJNA252333,SAMN02870442,None,None,whole organism
GBUM00000000.1,GBUM,PRJNA252333,SAMN02870442,None,adult,None
GBUK00000000.1,GBUK,PRJNA252331,SAMN02870360,missing,None,None
GBUK00000000.1,GBUK,PRJNA252331,SAMN02870360,None,None,whole organism
GBUK00000000.1,GBUK,PRJNA252331,SAMN02870360,None,adult,None
GBUJ00000000.1,GBUJ,PRJNA252324,SAMN02870267,female,None,None
GBUJ00000000.1,GBUJ,PRJNA252324,SAMN02870267,None,None,whole organism
GBUJ00000000.1,GBUJ,PRJNA252324,SAMN02870267,None,adult,None
GBQM00000000.1,GBQM,PRJNA252303,SAMN02870268,male,None,None
GBQM00000000.1,GBQM,PRJNA252303,SAMN02870268,None,None,whole organism
GBQM00000000.1,GBQM,PRJNA252303,SAMN02870268,None,adult,None
GBQP00000000.1,GBQP,PRJNA252292,SAMN02870307,female,None,None
GBQP00000000.1,GBQP,PRJNA252292,SAMN02870307,None,None,whole organism
GBQP00000000.1,GBQP,PRJNA252292,SAMN02870307,None,adult,None
GBQL00000000.1,GBQL,PRJNA252283,SAMN02870292,missing,None,None
GBQL00000000.1,GBQL,PRJNA252283,SAMN02870292,None,None,whole organism
GBQL00000000.1,GBQL,PRJNA252283,SAMN02870292,None,adult,None
GBQN00000000.1,GBQN,PRJNA252282,SAMN02870335,missing,None,None
GBQN00000000.1,GBQN,PRJNA252282,SAMN02870335,None,None,whole organism
GBQN00000000.1,GBQN,PRJNA252282,SAMN02870335,None,adult,None
GBQK00000000.1,GBQK,PRJNA252294,SAMN02870312,missing,None,None
GBQK00000000.1,GBQK,PRJNA252294,SAMN02870312,None,None,whole organism
GBQK00000000.1,GBQK,PRJNA252294,SAMN02870312,None,adult,None
GBQG00000000.1,GBQG,PRJNA252287,SAMN02870336,missing,None,None
GBQG00000000.1,GBQG,PRJNA252287,SAMN02870336,None,None,whole organism
GBQG00000000.1,GBQG,PRJNA252287,SAMN02870336,None,adult,None
GBQF00000000.1,GBQF,PRJNA252285,SAMN02870222,female,None,None
GBQF00000000.1,GBQF,PRJNA252285,SAMN02870222,None,None,whole organism
GBQF00000000.1,GBQF,PRJNA252285,SAMN02870222,None,adult,None
GBQE00000000.1,GBQE,PRJNA252280,SAMN02870230,missing,None,None
GBQE00000000.1,GBQE,PRJNA252280,SAMN02870230,None,None,whole organism
GBQE00000000.1,GBQE,PRJNA252280,SAMN02870230,None,adult,None
GBQJ00000000.1,GBQJ,PRJNA252276,SAMN02870397,female,None,None
GBQJ00000000.1,GBQJ,PRJNA252276,SAMN02870397,None,None,whole organism
GBQJ00000000.1,GBQJ,PRJNA252276,SAMN02870397,None,adult,None
GBQA00000000.1,GBQA,PRJNA252313,SAMN02870430,missing,None,None
GBQA00000000.1,GBQA,PRJNA252313,SAMN02870430,None,None,whole organism
GBQA00000000.1,GBQA,PRJNA252313,SAMN02870430,None,adult,None
GBPZ00000000.1,GBPZ,PRJNA252269,SAMN02870266,missing,None,None
GBPZ00000000.1,GBPZ,PRJNA252269,SAMN02870266,None,None,whole organism
GBPZ00000000.1,GBPZ,PRJNA252269,SAMN02870266,None,adult,None
GBPW00000000.1,GBPW,PRJNA252262,SAMN02870291,missing,None,None
GBPW00000000.1,GBPW,PRJNA252262,SAMN02870291,None,None,whole organism
GBPW00000000.1,GBPW,PRJNA252262,SAMN02870291,None,adult,None
GBPN00000000.1,GBPN,PRJNA252249,SAMN02870237,missing,None,None
GBPN00000000.1,GBPN,PRJNA252249,SAMN02870237,None,None,whole organism
GBPN00000000.1,GBPN,PRJNA252249,SAMN02870237,None,adult,None
GBPE00000000.1,GBPE,PRJNA252197,SAMN02870317,male,None,None
GBPE00000000.1,GBPE,PRJNA252197,SAMN02870317,None,None,whole organism
GBPE00000000.1,GBPE,PRJNA252197,SAMN02870317,None,adult,None
GBOU00000000.1,GBOU,PRJNA252147,SAMN02870330,missing,None,None
GBOU00000000.1,GBOU,PRJNA252147,SAMN02870330,None,None,whole organism
GBOU00000000.1,GBOU,PRJNA252147,SAMN02870330,None,adult,None
GBOR00000000.1,GBOR,PRJNA252166,SAMN02870417,missing,None,None
GBOR00000000.1,GBOR,PRJNA252166,SAMN02870417,None,None,whole organism
GBOR00000000.1,GBOR,PRJNA252166,SAMN02870417,None,adult,None
GBOQ00000000.1,GBOQ,PRJNA252348,SAMN02870273,female,None,None
GBOQ00000000.1,GBOQ,PRJNA252348,SAMN02870273,None,None,whole organism
GBOQ00000000.1,GBOQ,PRJNA252348,SAMN02870273,None,adult,None
GBNW00000000.1,GBNW,PRJNA252146,SAMN02870389,male,None,None
GBNW00000000.1,GBNW,PRJNA252146,SAMN02870389,None,None,whole organism
GBNW00000000.1,GBNW,PRJNA252146,SAMN02870389,None,adult,None
GBOE00000000.1,GBOE,PRJNA252145,SAMN02870238,female,None,None
GBOE00000000.1,GBOE,PRJNA252145,SAMN02870238,None,None,whole organism
GBOE00000000.1,GBOE,PRJNA252145,SAMN02870238,None,adult,None
GBOC00000000.1,GBOC,PRJNA252142,SAMN02870364,female,None,None
GBOC00000000.1,GBOC,PRJNA252142,SAMN02870364,None,None,whole organism
GBOC00000000.1,GBOC,PRJNA252142,SAMN02870364,None,adult,None
GBNO00000000.1,GBNO,PRJNA252204,SAMN02870285,male,None,None
GBNO00000000.1,GBNO,PRJNA252204,SAMN02870285,None,None,whole organism
GBNO00000000.1,GBNO,PRJNA252204,SAMN02870285,None,adult,None
GBOL00000000.1,GBOL,PRJNA252347,SAMN02870264,missing,None,None
GBOL00000000.1,GBOL,PRJNA252347,SAMN02870264,None,None,whole organism
GBOL00000000.1,GBOL,PRJNA252347,SAMN02870264,None,adult,None
GBNJ00000000.1,GBNJ,PRJNA252341,SAMN02870387,male,None,None
GBNJ00000000.1,GBNJ,PRJNA252341,SAMN02870387,None,None,whole organism
GBNJ00000000.1,GBNJ,PRJNA252341,SAMN02870387,None,adult,None
GBNT00000000.1,GBNT,PRJNA252218,SAMN02870206,male,None,None
GBNT00000000.1,GBNT,PRJNA252218,SAMN02870206,None,None,whole organism
GBNT00000000.1,GBNT,PRJNA252218,SAMN02870206,None,adult,None
GBTU00000000.1,GBTU,PRJNA252165,SAMN02870357,missing,None,None
GBTU00000000.1,GBTU,PRJNA252165,SAMN02870357,None,None,whole organism
GBTU00000000.1,GBTU,PRJNA252165,SAMN02870357,None,adult,None
GBTF00000000.1,GBTF,PRJNA252198,SAMN02870272,missing,None,None
GBTF00000000.1,GBTF,PRJNA252198,SAMN02870272,None,None,whole organism
GBTF00000000.1,GBTF,PRJNA252198,SAMN02870272,None,adult,None
GBTY00000000.1,GBTY,PRJNA252203,SAMN02870287,male,None,None
GBTY00000000.1,GBTY,PRJNA252203,SAMN02870287,None,None,whole organism
GBTY00000000.1,GBTY,PRJNA252203,SAMN02870287,None,adult,None
GBTZ00000000.1,GBTZ,PRJNA252277,SAMN02870341,female,None,None
GBTZ00000000.1,GBTZ,PRJNA252277,SAMN02870341,None,None,whole organism
GBTZ00000000.1,GBTZ,PRJNA252277,SAMN02870341,None,adult,None
GBWX00000000.1,GBWX,PRJNA252148,SAMN02870288,male,None,None
GBWX00000000.1,GBWX,PRJNA252148,SAMN02870288,None,None,whole organism
GBWX00000000.1,GBWX,PRJNA252148,SAMN02870288,None,adult,None
GBWY00000000.1,GBWY,PRJNA252302,SAMN02870394,female,None,None
GBWY00000000.1,GBWY,PRJNA252302,SAMN02870394,None,None,whole organism
GBWY00000000.1,GBWY,PRJNA252302,SAMN02870394,None,adult,None
GBQV00000000.1,GBQV,PRJNA252136,SAMN02870426,female,None,None
GBQV00000000.1,GBQV,PRJNA252136,SAMN02870426,None,None,whole organism
GBQV00000000.1,GBQV,PRJNA252136,SAMN02870426,None,adult,None
GBNP00000000.1,GBNP,PRJNA252310,SAMN02870296,missing,None,None
GBNP00000000.1,GBNP,PRJNA252310,SAMN02870296,None,None,whole organism
GBNP00000000.1,GBNP,PRJNA252310,SAMN02870296,None,adult,None
GBNY00000000.1,GBNY,PRJNA252297,SAMN02870210,female,None,None
GBNY00000000.1,GBNY,PRJNA252297,SAMN02870210,None,None,whole organism
GBNY00000000.1,GBNY,PRJNA252297,SAMN02870210,None,adult,None
GBQS00000000.1,GBQS,PRJNA252305,SAMN02870438,female,None,None
GBQS00000000.1,GBQS,PRJNA252305,SAMN02870438,None,None,whole organism
GBQS00000000.1,GBQS,PRJNA252305,SAMN02870438,None,adult,None
GBQU00000000.1,GBQU,PRJNA252134,SAMN02870347,missing,None,None
GBQU00000000.1,GBQU,PRJNA252134,SAMN02870347,None,None,whole organism
GBQU00000000.1,GBQU,PRJNA252134,SAMN02870347,None,adult,None
GBTM00000000.1,GBTM,PRJNA252326,SAMN02870212,male,None,None
GBTM00000000.1,GBTM,PRJNA252326,SAMN02870212,None,None,whole organism
GBTM00000000.1,GBTM,PRJNA252326,SAMN02870212,None,adult,None
GBTL00000000.1,GBTL,PRJNA252240,SAMN02870423,missing,None,None
GBTL00000000.1,GBTL,PRJNA252240,SAMN02870423,None,None,whole organism
GBTL00000000.1,GBTL,PRJNA252240,SAMN02870423,None,adult,None
GBTP00000000.1,GBTP,PRJNA252225,SAMN02870215,female,None,None
GBTP00000000.1,GBTP,PRJNA252225,SAMN02870215,None,None,whole organism
GBTP00000000.1,GBTP,PRJNA252225,SAMN02870215,None,adult,None
GBTQ00000000.1,GBTQ,PRJNA252220,SAMN02870328,male,None,None
GBTQ00000000.1,GBTQ,PRJNA252220,SAMN02870328,None,None,whole organism
GBTQ00000000.1,GBTQ,PRJNA252220,SAMN02870328,None,adult,None
GBTS00000000.1,GBTS,PRJNA252209,SAMN02870359,missing,None,None
GBTS00000000.1,GBTS,PRJNA252209,SAMN02870359,None,None,whole organism
GBTS00000000.1,GBTS,PRJNA252209,SAMN02870359,None,adult,None
GBPQ00000000.1,GBPQ,PRJNA252248,SAMN02870395,missing,None,None
GBPQ00000000.1,GBPQ,PRJNA252248,SAMN02870395,None,None,whole organism
GBPQ00000000.1,GBPQ,PRJNA252248,SAMN02870395,None,adult,None
GBPS00000000.1,GBPS,PRJNA252252,SAMN02870316,missing,None,None
GBPS00000000.1,GBPS,PRJNA252252,SAMN02870316,None,None,whole organism
GBPS00000000.1,GBPS,PRJNA252252,SAMN02870316,None,adult,None
GBPU00000000.1,GBPU,PRJNA252255,SAMN02870234,female,None,None
GBPU00000000.1,GBPU,PRJNA252255,SAMN02870234,None,None,whole organism
GBPU00000000.1,GBPU,PRJNA252255,SAMN02870234,None,adult,None
GBOJ00000000.1,GBOJ,PRJNA252257,SAMN02870211,missing,None,None
GBOJ00000000.1,GBOJ,PRJNA252257,SAMN02870211,None,None,whole organism
GBOJ00000000.1,GBOJ,PRJNA252257,SAMN02870211,None,adult,None
GBPV00000000.1,GBPV,PRJNA252258,SAMN02870219,missing,None,None
GBPV00000000.1,GBPV,PRJNA252258,SAMN02870219,None,None,whole organism
GBPV00000000.1,GBPV,PRJNA252258,SAMN02870219,None,adult,None
GBOK00000000.1,GBOK,PRJNA252267,SAMN02870339,missing,None,None
GBOK00000000.1,GBOK,PRJNA252267,SAMN02870339,None,None,whole organism
GBOK00000000.1,GBOK,PRJNA252267,SAMN02870339,None,adult,None
GBNQ00000000.1,GBNQ,PRJNA252275,SAMN02870399,missing,None,None
GBNQ00000000.1,GBNQ,PRJNA252275,SAMN02870399,None,None,whole organism
GBNQ00000000.1,GBNQ,PRJNA252275,SAMN02870399,None,adult,None
GBNX00000000.1,GBNX,PRJNA252296,SAMN02870333,missing,None,None
GBNX00000000.1,GBNX,PRJNA252296,SAMN02870333,None,None,whole organism
GBNX00000000.1,GBNX,PRJNA252296,SAMN02870333,None,adult,None
GBNZ00000000.1,GBNZ,PRJNA252300,SAMN02870313,missing,None,None
GBNZ00000000.1,GBNZ,PRJNA252300,SAMN02870313,None,None,whole organism
GBNZ00000000.1,GBNZ,PRJNA252300,SAMN02870313,None,adult,None
GBON00000000.1,GBON,PRJNA252123,SAMN02870286,male,None,None
GBON00000000.1,GBON,PRJNA252123,SAMN02870286,None,None,whole organism
GBON00000000.1,GBON,PRJNA252123,SAMN02870286,None,adult,None
GBNC00000000.1,GBNC,PRJNA252183,SAMN02870422,missing,None,None
GBNC00000000.1,GBNC,PRJNA252183,SAMN02870422,None,None,whole organism
GBNC00000000.1,GBNC,PRJNA252183,SAMN02870422,None,adult,None
GBPP00000000.1,GBPP,PRJNA252246,SAMN02870282,male,None,None
GBPP00000000.1,GBPP,PRJNA252246,SAMN02870282,None,None,whole organism
GBPP00000000.1,GBPP,PRJNA252246,SAMN02870282,None,adult,None
